selector, num_iters, interval_mean, cali_t_per_iter, weight_overhead, weight_cali, overhead_average, cali_t_average, weighted_overhead, weighted_cali, weighted_sum, num_nodes, prob, case_types_id, case_location_id, case_presence_id
nodal, 100, 7.82, 3788.4, 1e+05, 1, 0.1278772, 484.4501, 12787.72, 484.4501, 13272.17, 25, 50, 2, 2, 1
local, 100, 7.82, 3533.2, 1e+05, 1, 0.1278772, 451.8159, 12787.72, 451.8159, 13239.54, 25, 50, 2, 2, 1
minimal, 100, 5.8, 5070.55, 1e+05, 1, 0.1724138, 874.2328, 17241.38, 874.2328, 18115.61, 25, 50, 2, 2, 2
all, 100, 23, 11904, 1e+05, 1, 0.04347826, 517.5652, 4347.826, 517.5652, 4865.391, 25, 50, 2, 2, 2
nodal, 100, 7.82, 3877.5, 1e+05, 1, 0.1278772, 495.844, 12787.72, 495.844, 13283.57, 25, 50, 2, 2, 2
local, 100, 7.82, 3631.6, 1e+05, 1, 0.1278772, 464.399, 12787.72, 464.399, 13252.12, 25, 50, 2, 2, 2
minimal, 100, 5.8, 4494.11, 1e+05, 1, 0.1724138, 774.8466, 17241.38, 774.8466, 18016.23, 25, 50, 2, 2, 3
all, 100, 23, 11530, 1e+05, 1, 0.04347826, 501.3043, 4347.826, 501.3043, 4849.13, 25, 50, 2, 2, 3
nodal, 100, 7.02, 3323.93, 1e+05, 1, 0.1424501, 473.4943, 14245.01, 473.4943, 14718.51, 25, 50, 2, 2, 3
local, 100, 7.82, 3519.56, 1e+05, 1, 0.1278772, 450.0716, 12787.72, 450.0716, 13237.8, 25, 50, 2, 2, 3
minimal, 100, 5.8, 4824.45, 1e+05, 1, 0.1724138, 831.8017, 17241.38, 831.8017, 18073.18, 25, 50, 2, 2, 4
all, 100, 23, 11960, 1e+05, 1, 0.04347826, 520, 4347.826, 520, 4867.826, 25, 50, 2, 2, 4
nodal, 100, 8.96, 4741.65, 1e+05, 1, 0.1116071, 529.202, 11160.71, 529.202, 11689.92, 25, 50, 2, 2, 4
local, 100, 10.35, 5079.19, 1e+05, 1, 0.09661836, 490.743, 9661.836, 490.743, 10152.58, 25, 50, 2, 2, 4
minimal, 100, 5.8, 4332.66, 1e+05, 1, 0.1724138, 747.0103, 17241.38, 747.0103, 17988.39, 25, 50, 2, 2, 5
all, 100, 23, 10316, 1e+05, 1, 0.04347826, 448.5217, 4347.826, 448.5217, 4796.348, 25, 50, 2, 2, 5
nodal, 100, 7.84, 3437.38, 1e+05, 1, 0.127551, 438.4413, 12755.1, 438.4413, 13193.54, 25, 50, 2, 2, 5
local, 100, 8.96, 3627.71, 1e+05, 1, 0.1116071, 404.8783, 11160.71, 404.8783, 11565.59, 25, 50, 2, 2, 5
minimal, 100, 5.51, 5388.65, 1e+05, 1, 0.1814882, 977.9764, 18148.82, 977.9764, 19126.8, 30, 50, 1, 1, 1
all, 100, 18, 11532, 1e+05, 1, 0.05555556, 640.6667, 5555.556, 640.6667, 6196.222, 30, 50, 1, 1, 1
nodal, 100, 8.7, 5355.61, 1e+05, 1, 0.1149425, 615.5874, 11494.25, 615.5874, 12109.84, 30, 50, 1, 1, 1
local, 100, 8.7, 5034.72, 1e+05, 1, 0.1149425, 578.7034, 11494.25, 578.7034, 12072.96, 30, 50, 1, 1, 1
minimal, 100, 5.51, 4638.31, 1e+05, 1, 0.1814882, 841.7985, 18148.82, 841.7985, 18990.62, 30, 50, 1, 1, 2
all, 100, 18, 10956, 1e+05, 1, 0.05555556, 608.6667, 5555.556, 608.6667, 6164.222, 30, 50, 1, 1, 2
nodal, 100, 7.2, 3786.87, 1e+05, 1, 0.1388889, 525.9542, 13888.89, 525.9542, 14414.84, 30, 50, 1, 1, 2
local, 100, 7.2, 3411.47, 1e+05, 1, 0.1388889, 473.8153, 13888.89, 473.8153, 14362.7, 30, 50, 1, 1, 2
minimal, 100, 5.51, 4940.87, 1e+05, 1, 0.1814882, 896.7096, 18148.82, 896.7096, 19045.53, 30, 50, 1, 1, 3
all, 100, 18, 11044, 1e+05, 1, 0.05555556, 613.5556, 5555.556, 613.5556, 6169.111, 30, 50, 1, 1, 3
nodal, 100, 7.82, 4417.54, 1e+05, 1, 0.1278772, 564.9028, 12787.72, 564.9028, 13352.63, 30, 50, 1, 1, 3
local, 100, 7.82, 4006.08, 1e+05, 1, 0.1278772, 512.2864, 12787.72, 512.2864, 13300.01, 30, 50, 1, 1, 3
minimal, 100, 5.51, 4403.03, 1e+05, 1, 0.1814882, 799.098, 18148.82, 799.098, 18947.92, 30, 50, 1, 1, 4
all, 100, 18, 10909, 1e+05, 1, 0.05555556, 606.0556, 5555.556, 606.0556, 6161.611, 30, 50, 1, 1, 4
nodal, 100, 7.82, 4095.08, 1e+05, 1, 0.1278772, 523.6675, 12787.72, 523.6675, 13311.39, 30, 50, 1, 1, 4
local, 100, 7.82, 3711.58, 1e+05, 1, 0.1278772, 474.6266, 12787.72, 474.6266, 13262.35, 30, 50, 1, 1, 4
minimal, 100, 5.51, 4898.45, 1e+05, 1, 0.1814882, 889.0109, 18148.82, 889.0109, 19037.83, 30, 50, 1, 1, 5
all, 100, 18, 11189, 1e+05, 1, 0.05555556, 621.6111, 5555.556, 621.6111, 6177.167, 30, 50, 1, 1, 5
nodal, 100, 6.96, 3747.57, 1e+05, 1, 0.1436782, 538.444, 14367.82, 538.444, 14906.26, 30, 50, 1, 1, 5
local, 100, 6.96, 3397.39, 1e+05, 1, 0.1436782, 488.1307, 14367.82, 488.1307, 14855.95, 30, 50, 1, 1, 5
minimal, 100, 5.51, 6278.18, 1e+05, 1, 0.1814882, 1139.416, 18148.82, 1139.416, 19288.24, 30, 50, 1, 2, 1
all, 100, 18, 14016, 1e+05, 1, 0.05555556, 778.6667, 5555.556, 778.6667, 6334.222, 30, 50, 1, 2, 1
nodal, 100, 8.7, 6161.77, 1e+05, 1, 0.1149425, 708.2494, 11494.25, 708.2494, 12202.5, 30, 50, 1, 2, 1
local, 100, 8.7, 6024.69, 1e+05, 1, 0.1149425, 692.4931, 11494.25, 692.4931, 12186.75, 30, 50, 1, 2, 1
minimal, 100, 5.51, 5558.14, 1e+05, 1, 0.1814882, 1008.737, 18148.82, 1008.737, 19157.56, 30, 50, 1, 2, 2
all, 100, 18, 13504, 1e+05, 1, 0.05555556, 750.2222, 5555.556, 750.2222, 6305.778, 30, 50, 1, 2, 2
nodal, 100, 7.2, 4255.8, 1e+05, 1, 0.1388889, 591.0833, 13888.89, 591.0833, 14479.97, 30, 50, 1, 2, 2
local, 100, 7.2, 4080.2, 1e+05, 1, 0.1388889, 566.6944, 13888.89, 566.6944, 14455.58, 30, 50, 1, 2, 2
minimal, 100, 5.51, 5579.67, 1e+05, 1, 0.1814882, 1012.644, 18148.82, 1012.644, 19161.46, 30, 50, 1, 2, 3
all, 100, 18, 14071, 1e+05, 1, 0.05555556, 781.7222, 5555.556, 781.7222, 6337.278, 30, 50, 1, 2, 3
nodal, 100, 7.82, 4930.38, 1e+05, 1, 0.1278772, 630.4834, 12787.72, 630.4834, 13418.21, 30, 50, 1, 2, 3
local, 100, 7.82, 4761.3, 1e+05, 1, 0.1278772, 608.8619, 12787.72, 608.8619, 13396.59, 30, 50, 1, 2, 3
minimal, 100, 5.51, 5663.5, 1e+05, 1, 0.1814882, 1027.858, 18148.82, 1027.858, 19176.68, 30, 50, 1, 2, 4
all, 100, 18, 13796, 1e+05, 1, 0.05555556, 766.4444, 5555.556, 766.4444, 6322, 30, 50, 1, 2, 4
nodal, 100, 7.82, 4967.86, 1e+05, 1, 0.1278772, 635.2762, 12787.72, 635.2762, 13423, 30, 50, 1, 2, 4
local, 100, 7.82, 4762.81, 1e+05, 1, 0.1278772, 609.055, 12787.72, 609.055, 13396.78, 30, 50, 1, 2, 4
minimal, 100, 5.51, 5827.03, 1e+05, 1, 0.1814882, 1057.537, 18148.82, 1057.537, 19206.36, 30, 50, 1, 2, 5
all, 100, 18, 13966, 1e+05, 1, 0.05555556, 775.8889, 5555.556, 775.8889, 6331.444, 30, 50, 1, 2, 5
nodal, 100, 6.96, 4434.07, 1e+05, 1, 0.1436782, 637.079, 14367.82, 637.079, 15004.9, 30, 50, 1, 2, 5
local, 100, 8.41, 5131.2, 1e+05, 1, 0.1189061, 610.1308, 11890.61, 610.1308, 12500.74, 30, 50, 1, 2, 5
