selector, num_iters, interval_mean, cali_t_per_iter, weight_overhead, weight_cali, overhead_average, cali_t_average, weighted_overhead, weighted_cali, weighted_sum, num_nodes, prob, case_types_id, case_location_id, case_presence_id
nodal, 100, 6.48, 6178.2, 1e+05, 1, 0.154321, 953.4259, 15432.1, 953.4259, 16385.52, 60, 50, 1, 1, 5
local, 100, 6.48, 4972.94, 1e+05, 1, 0.154321, 767.429, 15432.1, 767.429, 16199.53, 60, 50, 1, 1, 5
minimal, 100, 5.51, 8786.08, 1e+05, 1, 0.1814882, 1594.57, 18148.82, 1594.57, 19743.39, 60, 50, 1, 2, 1
all, 100, 18, 20597, 1e+05, 1, 0.05555556, 1144.278, 5555.556, 1144.278, 6699.833, 60, 50, 1, 2, 1
nodal, 100, 6.96, 7119.24, 1e+05, 1, 0.1436782, 1022.879, 14367.82, 1022.879, 15390.7, 60, 50, 1, 2, 1
local, 100, 6.96, 6066.45, 1e+05, 1, 0.1436782, 871.6164, 14367.82, 871.6164, 15239.43, 60, 50, 1, 2, 1
minimal, 100, 5.51, 8768.25, 1e+05, 1, 0.1814882, 1591.334, 18148.82, 1591.334, 19740.15, 60, 50, 1, 2, 2
all, 100, 18, 20587, 1e+05, 1, 0.05555556, 1143.722, 5555.556, 1143.722, 6699.278, 60, 50, 1, 2, 2
nodal, 100, 6.96, 7078.08, 1e+05, 1, 0.1436782, 1016.966, 14367.82, 1016.966, 15384.78, 60, 50, 1, 2, 2
local, 100, 7.82, 6966.15, 1e+05, 1, 0.1278772, 890.812, 12787.72, 890.812, 13678.54, 60, 50, 1, 2, 2
minimal, 100, 5.51, 8652.76, 1e+05, 1, 0.1814882, 1570.374, 18148.82, 1570.374, 19719.19, 60, 50, 1, 2, 3
all, 100, 18, 20676, 1e+05, 1, 0.05555556, 1148.667, 5555.556, 1148.667, 6704.222, 60, 50, 1, 2, 3
nodal, 100, 7.2, 7572.45, 1e+05, 1, 0.1388889, 1051.729, 13888.89, 1051.729, 14940.62, 60, 50, 1, 2, 3
local, 100, 7.82, 6986.09, 1e+05, 1, 0.1278772, 893.3619, 12787.72, 893.3619, 13681.09, 60, 50, 1, 2, 3
minimal, 100, 5.51, 9717.96, 1e+05, 1, 0.1814882, 1763.695, 18148.82, 1763.695, 19912.52, 60, 50, 1, 2, 4
all, 100, 18, 21501, 1e+05, 1, 0.05555556, 1194.5, 5555.556, 1194.5, 6750.056, 60, 50, 1, 2, 4
nodal, 100, 6.96, 7716.89, 1e+05, 1, 0.1436782, 1108.749, 14367.82, 1108.749, 15476.56, 60, 50, 1, 2, 4
local, 100, 7.82, 7751.2, 1e+05, 1, 0.1278772, 991.202, 12787.72, 991.202, 13778.93, 60, 50, 1, 2, 4
minimal, 100, 5.51, 8552.9, 1e+05, 1, 0.1814882, 1552.25, 18148.82, 1552.25, 19701.07, 60, 50, 1, 2, 5
all, 100, 18, 20507, 1e+05, 1, 0.05555556, 1139.278, 5555.556, 1139.278, 6694.833, 60, 50, 1, 2, 5
nodal, 100, 6.48, 6459, 1e+05, 1, 0.154321, 996.7593, 15432.1, 996.7593, 16428.86, 60, 50, 1, 2, 5
local, 100, 6.48, 5472.75, 1e+05, 1, 0.154321, 844.5602, 15432.1, 844.5602, 16276.66, 60, 50, 1, 2, 5
minimal, 100, 5.8, 7796.91, 1e+05, 1, 0.1724138, 1344.295, 17241.38, 1344.295, 18585.67, 60, 50, 2, 1, 1
all, 100, 23, 18775, 1e+05, 1, 0.04347826, 816.3043, 4347.826, 816.3043, 5164.13, 60, 50, 2, 1, 1
nodal, 100, 6.21, 5643.79, 1e+05, 1, 0.1610306, 908.8229, 16103.06, 908.8229, 17011.88, 60, 50, 2, 1, 1
local, 100, 6.9, 4820.93, 1e+05, 1, 0.1449275, 698.6855, 14492.75, 698.6855, 15191.44, 60, 50, 2, 1, 1
minimal, 100, 5.8, 8584.72, 1e+05, 1, 0.1724138, 1480.124, 17241.38, 1480.124, 18721.5, 60, 50, 2, 1, 2
all, 100, 23, 19408, 1e+05, 1, 0.04347826, 843.8261, 4347.826, 843.8261, 5191.652, 60, 50, 2, 1, 2
nodal, 100, 7.02, 6634.05, 1e+05, 1, 0.1424501, 945.0214, 14245.01, 945.0214, 15190.04, 60, 50, 2, 1, 2
local, 100, 7.82, 6012.36, 1e+05, 1, 0.1278772, 768.844, 12787.72, 768.844, 13556.57, 60, 50, 2, 1, 2
minimal, 100, 5.8, 8405.05, 1e+05, 1, 0.1724138, 1449.147, 17241.38, 1449.147, 18690.53, 60, 50, 2, 1, 3
all, 100, 23, 18560, 1e+05, 1, 0.04347826, 806.9565, 4347.826, 806.9565, 5154.783, 60, 50, 2, 1, 3
nodal, 100, 6.24, 5599.8, 1e+05, 1, 0.1602564, 897.4038, 16025.64, 897.4038, 16923.04, 60, 50, 2, 1, 3
local, 100, 8.96, 6689.64, 1e+05, 1, 0.1116071, 746.6116, 11160.71, 746.6116, 11907.33, 60, 50, 2, 1, 3
minimal, 100, 5.8, 8694.94, 1e+05, 1, 0.1724138, 1499.128, 17241.38, 1499.128, 18740.51, 60, 50, 2, 1, 4
all, 100, 23, 19494, 1e+05, 1, 0.04347826, 847.5652, 4347.826, 847.5652, 5195.391, 60, 50, 2, 1, 4
nodal, 100, 7.02, 7095.26, 1e+05, 1, 0.1424501, 1010.721, 14245.01, 1010.721, 15255.74, 60, 50, 2, 1, 4
local, 100, 7.02, 5556.5, 1e+05, 1, 0.1424501, 791.5242, 14245.01, 791.5242, 15036.54, 60, 50, 2, 1, 4
minimal, 100, 5.8, 8143.91, 1e+05, 1, 0.1724138, 1404.122, 17241.38, 1404.122, 18645.5, 60, 50, 2, 1, 5
all, 100, 23, 18460, 1e+05, 1, 0.04347826, 802.6087, 4347.826, 802.6087, 5150.435, 60, 50, 2, 1, 5
nodal, 100, 7.82, 7428.89, 1e+05, 1, 0.1278772, 949.9859, 12787.72, 949.9859, 13737.71, 60, 50, 2, 1, 5
local, 100, 8.96, 6575.03, 1e+05, 1, 0.1116071, 733.8203, 11160.71, 733.8203, 11894.53, 60, 50, 2, 1, 5
minimal, 100, 5.8, 8628.51, 1e+05, 1, 0.1724138, 1487.674, 17241.38, 1487.674, 18729.05, 60, 50, 2, 2, 1
all, 100, 23, 20581, 1e+05, 1, 0.04347826, 894.8261, 4347.826, 894.8261, 5242.652, 60, 50, 2, 2, 1
nodal, 100, 6.21, 6072.45, 1e+05, 1, 0.1610306, 977.8502, 16103.06, 977.8502, 17080.91, 60, 50, 2, 2, 1
local, 100, 6.9, 5378.67, 1e+05, 1, 0.1449275, 779.5174, 14492.75, 779.5174, 15272.27, 60, 50, 2, 2, 1
minimal, 100, 5.8, 8919.04, 1e+05, 1, 0.1724138, 1537.766, 17241.38, 1537.766, 18779.14, 60, 50, 2, 2, 2
all, 100, 23, 21012, 1e+05, 1, 0.04347826, 913.5652, 4347.826, 913.5652, 5261.391, 60, 50, 2, 2, 2
nodal, 100, 7.02, 7351.29, 1e+05, 1, 0.1424501, 1047.192, 14245.01, 1047.192, 15292.21, 60, 50, 2, 2, 2
local, 100, 7.82, 6542.48, 1e+05, 1, 0.1278772, 836.6343, 12787.72, 836.6343, 13624.36, 60, 50, 2, 2, 2
minimal, 100, 5.8, 9039.6, 1e+05, 1, 0.1724138, 1558.552, 17241.38, 1558.552, 18799.93, 60, 50, 2, 2, 3
all, 100, 23, 20720, 1e+05, 1, 0.04347826, 900.8696, 4347.826, 900.8696, 5248.696, 60, 50, 2, 2, 3
nodal, 100, 6.24, 6068.37, 1e+05, 1, 0.1602564, 972.4952, 16025.64, 972.4952, 16998.14, 60, 50, 2, 2, 3
local, 100, 8.12, 6788.96, 1e+05, 1, 0.1231527, 836.0788, 12315.27, 836.0788, 13151.35, 60, 50, 2, 2, 3
minimal, 100, 5.8, 8840.3, 1e+05, 1, 0.1724138, 1524.19, 17241.38, 1524.19, 18765.57, 60, 50, 2, 2, 4
all, 100, 23, 21167, 1e+05, 1, 0.04347826, 920.3043, 4347.826, 920.3043, 5268.13, 60, 50, 2, 2, 4
nodal, 100, 7.02, 6811.39, 1e+05, 1, 0.1424501, 970.2835, 14245.01, 970.2835, 15215.3, 60, 50, 2, 2, 4
local, 100, 7.82, 6572.7, 1e+05, 1, 0.1278772, 840.4987, 12787.72, 840.4987, 13628.22, 60, 50, 2, 2, 4
minimal, 100, 5.8, 8514.63, 1e+05, 1, 0.1724138, 1468.04, 17241.38, 1468.04, 18709.42, 60, 50, 2, 2, 5
all, 100, 23, 20267, 1e+05, 1, 0.04347826, 881.1739, 4347.826, 881.1739, 5229, 60, 50, 2, 2, 5
nodal, 100, 7.82, 7512.5, 1e+05, 1, 0.1278772, 960.6777, 12787.72, 960.6777, 13748.4, 60, 50, 2, 2, 5
local, 100, 7.82, 6235.95, 1e+05, 1, 0.1278772, 797.4361, 12787.72, 797.4361, 13585.16, 60, 50, 2, 2, 5
minimal, 100, 5.51, 9446.96, 1e+05, 1, 0.1814882, 1714.512, 18148.82, 1714.512, 19863.33, 65, 50, 1, 1, 1
all, 100, 18, 20874, 1e+05, 1, 0.05555556, 1159.667, 5555.556, 1159.667, 6715.222, 65, 50, 1, 1, 1
nodal, 100, 6.48, 7119.76, 1e+05, 1, 0.154321, 1098.728, 15432.1, 1098.728, 16530.83, 65, 50, 1, 1, 1
local, 100, 7.82, 7428.76, 1e+05, 1, 0.1278772, 949.9693, 12787.72, 949.9693, 13737.69, 65, 50, 1, 1, 1
minimal, 100, 5.51, 9629.21, 1e+05, 1, 0.1814882, 1747.588, 18148.82, 1747.588, 19896.41, 65, 50, 1, 1, 2
all, 100, 18, 20652, 1e+05, 1, 0.05555556, 1147.333, 5555.556, 1147.333, 6702.889, 65, 50, 1, 1, 2
nodal, 100, 7.02, 8014.72, 1e+05, 1, 0.1424501, 1141.698, 14245.01, 1141.698, 15386.71, 65, 50, 1, 1, 2
local, 100, 7.82, 7744.13, 1e+05, 1, 0.1278772, 990.298, 12787.72, 990.298, 13778.02, 65, 50, 1, 1, 2
minimal, 100, 5.51, 9088.23, 1e+05, 1, 0.1814882, 1649.407, 18148.82, 1649.407, 19798.23, 65, 50, 1, 1, 3
all, 100, 18, 20562, 1e+05, 1, 0.05555556, 1142.333, 5555.556, 1142.333, 6697.889, 65, 50, 1, 1, 3
nodal, 100, 6.4, 7368.41, 1e+05, 1, 0.15625, 1151.314, 15625, 1151.314, 16776.31, 65, 50, 1, 1, 3
local, 100, 6.96, 6590.11, 1e+05, 1, 0.1436782, 946.8549, 14367.82, 946.8549, 15314.67, 65, 50, 1, 1, 3
minimal, 100, 5.51, 9859.14, 1e+05, 1, 0.1814882, 1789.318, 18148.82, 1789.318, 19938.14, 65, 50, 1, 1, 4
all, 100, 18, 20882, 1e+05, 1, 0.05555556, 1160.111, 5555.556, 1160.111, 6715.667, 65, 50, 1, 1, 4
nodal, 100, 6.48, 7311.83, 1e+05, 1, 0.154321, 1128.369, 15432.1, 1128.369, 16560.47, 65, 50, 1, 1, 4
local, 100, 7.2, 7005.98, 1e+05, 1, 0.1388889, 973.0528, 13888.89, 973.0528, 14861.94, 65, 50, 1, 1, 4
minimal, 100, 5.51, 9307.67, 1e+05, 1, 0.1814882, 1689.232, 18148.82, 1689.232, 19838.05, 65, 50, 1, 1, 5
all, 100, 18, 21004, 1e+05, 1, 0.05555556, 1166.889, 5555.556, 1166.889, 6722.444, 65, 50, 1, 1, 5
nodal, 100, 6.96, 7728.21, 1e+05, 1, 0.1436782, 1110.375, 14367.82, 1110.375, 15478.19, 65, 50, 1, 1, 5
local, 100, 8.7, 8142.01, 1e+05, 1, 0.1149425, 935.8632, 11494.25, 935.8632, 12430.12, 65, 50, 1, 1, 5
minimal, 100, 5.51, 9909.99, 1e+05, 1, 0.1814882, 1798.546, 18148.82, 1798.546, 19947.37, 65, 50, 1, 2, 1
all, 100, 18, 22035, 1e+05, 1, 0.05555556, 1224.167, 5555.556, 1224.167, 6779.722, 65, 50, 1, 2, 1
nodal, 100, 6.48, 7272.07, 1e+05, 1, 0.154321, 1122.233, 15432.1, 1122.233, 16554.33, 65, 50, 1, 2, 1
local, 100, 7.02, 6903.56, 1e+05, 1, 0.1424501, 983.4131, 14245.01, 983.4131, 15228.43, 65, 50, 1, 2, 1
minimal, 100, 5.51, 9585.79, 1e+05, 1, 0.1814882, 1739.708, 18148.82, 1739.708, 19888.53, 65, 50, 1, 2, 2
all, 100, 18, 22142, 1e+05, 1, 0.05555556, 1230.111, 5555.556, 1230.111, 6785.667, 65, 50, 1, 2, 2
nodal, 100, 7.02, 8528.98, 1e+05, 1, 0.1424501, 1214.954, 14245.01, 1214.954, 15459.97, 65, 50, 1, 2, 2
local, 100, 7.02, 7138.18, 1e+05, 1, 0.1424501, 1016.835, 14245.01, 1016.835, 15261.85, 65, 50, 1, 2, 2
minimal, 100, 5.51, 9833.53, 1e+05, 1, 0.1814882, 1784.67, 18148.82, 1784.67, 19933.49, 65, 50, 1, 2, 3
all, 100, 18, 22447, 1e+05, 1, 0.05555556, 1247.056, 5555.556, 1247.056, 6802.611, 65, 50, 1, 2, 3
nodal, 100, 6.4, 7456.71, 1e+05, 1, 0.15625, 1165.111, 15625, 1165.111, 16790.11, 65, 50, 1, 2, 3
local, 100, 6.96, 7002.97, 1e+05, 1, 0.1436782, 1006.174, 14367.82, 1006.174, 15373.99, 65, 50, 1, 2, 3
minimal, 100, 5.51, 10353.8, 1e+05, 1, 0.1814882, 1879.093, 18148.82, 1879.093, 20027.91, 65, 50, 1, 2, 4
all, 100, 18, 22343, 1e+05, 1, 0.05555556, 1241.278, 5555.556, 1241.278, 6796.833, 65, 50, 1, 2, 4
nodal, 100, 6.48, 7542.44, 1e+05, 1, 0.154321, 1163.957, 15432.1, 1163.957, 16596.06, 65, 50, 1, 2, 4
local, 100, 7.2, 7286.32, 1e+05, 1, 0.1388889, 1011.989, 13888.89, 1011.989, 14900.88, 65, 50, 1, 2, 4
minimal, 100, 5.51, 9393.54, 1e+05, 1, 0.1814882, 1704.817, 18148.82, 1704.817, 19853.64, 65, 50, 1, 2, 5
all, 100, 18, 22137, 1e+05, 1, 0.05555556, 1229.833, 5555.556, 1229.833, 6785.389, 65, 50, 1, 2, 5
nodal, 100, 6.96, 7972.55, 1e+05, 1, 0.1436782, 1145.481, 14367.82, 1145.481, 15513.3, 65, 50, 1, 2, 5
local, 100, 7.82, 7426.51, 1e+05, 1, 0.1278772, 949.6816, 12787.72, 949.6816, 13737.41, 65, 50, 1, 2, 5
minimal, 100, 5.8, 8559.21, 1e+05, 1, 0.1724138, 1475.726, 17241.38, 1475.726, 18717.11, 65, 50, 2, 1, 1
all, 100, 23, 20271, 1e+05, 1, 0.04347826, 881.3478, 4347.826, 881.3478, 5229.174, 65, 50, 2, 1, 1
nodal, 100, 6.21, 6001.35, 1e+05, 1, 0.1610306, 966.401, 16103.06, 966.401, 17069.46, 65, 50, 2, 1, 1
local, 100, 7.82, 6362.46, 1e+05, 1, 0.1278772, 813.6138, 12787.72, 813.6138, 13601.34, 65, 50, 2, 1, 1
minimal, 100, 5.8, 8888.34, 1e+05, 1, 0.1724138, 1532.472, 17241.38, 1532.472, 18773.85, 65, 50, 2, 1, 2
all, 100, 23, 20666, 1e+05, 1, 0.04347826, 898.5217, 4347.826, 898.5217, 5246.348, 65, 50, 2, 1, 2
nodal, 100, 6.21, 6255.4, 1e+05, 1, 0.1610306, 1007.311, 16103.06, 1007.311, 17110.37, 65, 50, 2, 1, 2
local, 100, 8.96, 7317.02, 1e+05, 1, 0.1116071, 816.6317, 11160.71, 816.6317, 11977.35, 65, 50, 2, 1, 2
minimal, 100, 5.8, 8568.5, 1e+05, 1, 0.1724138, 1477.328, 17241.38, 1477.328, 18718.71, 65, 50, 2, 1, 3
all, 100, 23, 20613, 1e+05, 1, 0.04347826, 896.2174, 4347.826, 896.2174, 5244.043, 65, 50, 2, 1, 3
nodal, 100, 6.9, 6871.65, 1e+05, 1, 0.1449275, 995.8913, 14492.75, 995.8913, 15488.64, 65, 50, 2, 1, 3
local, 100, 6.9, 5401.09, 1e+05, 1, 0.1449275, 782.7667, 14492.75, 782.7667, 15275.52, 65, 50, 2, 1, 3
minimal, 100, 5.8, 8740.35, 1e+05, 1, 0.1724138, 1506.957, 17241.38, 1506.957, 18748.34, 65, 50, 2, 1, 4
all, 100, 23, 20028, 1e+05, 1, 0.04347826, 870.7826, 4347.826, 870.7826, 5218.609, 65, 50, 2, 1, 4
nodal, 100, 7.13, 6436.2, 1e+05, 1, 0.1402525, 902.6928, 14025.25, 902.6928, 14927.94, 65, 50, 2, 1, 4
local, 100, 7.13, 5334.82, 1e+05, 1, 0.1402525, 748.2216, 14025.25, 748.2216, 14773.47, 65, 50, 2, 1, 4
minimal, 100, 5.8, 9494.58, 1e+05, 1, 0.1724138, 1636.997, 17241.38, 1636.997, 18878.38, 65, 50, 2, 1, 5
all, 100, 23, 21205, 1e+05, 1, 0.04347826, 921.9565, 4347.826, 921.9565, 5269.783, 65, 50, 2, 1, 5
nodal, 100, 6.21, 6666.47, 1e+05, 1, 0.1610306, 1073.506, 16103.06, 1073.506, 17176.57, 65, 50, 2, 1, 5
local, 100, 6.9, 5703.75, 1e+05, 1, 0.1449275, 826.6304, 14492.75, 826.6304, 15319.38, 65, 50, 2, 1, 5
minimal, 100, 5.8, 9851.69, 1e+05, 1, 0.1724138, 1698.567, 17241.38, 1698.567, 18939.95, 65, 50, 2, 2, 1
all, 100, 23, 22052, 1e+05, 1, 0.04347826, 958.7826, 4347.826, 958.7826, 5306.609, 65, 50, 2, 2, 1
nodal, 100, 6.21, 6444.25, 1e+05, 1, 0.1610306, 1037.721, 16103.06, 1037.721, 17140.78, 65, 50, 2, 2, 1
local, 100, 6.9, 5905.05, 1e+05, 1, 0.1449275, 855.8043, 14492.75, 855.8043, 15348.56, 65, 50, 2, 2, 1
minimal, 100, 5.8, 8421.66, 1e+05, 1, 0.1724138, 1452.01, 17241.38, 1452.01, 18693.39, 65, 50, 2, 2, 2
all, 100, 23, 20720, 1e+05, 1, 0.04347826, 900.8696, 4347.826, 900.8696, 5248.696, 65, 50, 2, 2, 2
nodal, 100, 6.21, 5656.53, 1e+05, 1, 0.1610306, 910.8744, 16103.06, 910.8744, 17013.93, 65, 50, 2, 2, 2
local, 100, 7.02, 5526.93, 1e+05, 1, 0.1424501, 787.312, 14245.01, 787.312, 15032.33, 65, 50, 2, 2, 2
minimal, 100, 5.8, 8746.81, 1e+05, 1, 0.1724138, 1508.071, 17241.38, 1508.071, 18749.45, 65, 50, 2, 2, 3
all, 100, 23, 21665, 1e+05, 1, 0.04347826, 941.9565, 4347.826, 941.9565, 5289.783, 65, 50, 2, 2, 3
nodal, 100, 6.9, 6994.6, 1e+05, 1, 0.1449275, 1013.71, 14492.75, 1013.71, 15506.46, 65, 50, 2, 2, 3
local, 100, 6.9, 5593.54, 1e+05, 1, 0.1449275, 810.658, 14492.75, 810.658, 15303.41, 65, 50, 2, 2, 3
minimal, 100, 5.8, 9797.23, 1e+05, 1, 0.1724138, 1689.178, 17241.38, 1689.178, 18930.56, 65, 50, 2, 2, 4
all, 100, 23, 22624, 1e+05, 1, 0.04347826, 983.6522, 4347.826, 983.6522, 5331.478, 65, 50, 2, 2, 4
nodal, 100, 7.13, 7093.74, 1e+05, 1, 0.1402525, 994.9144, 14025.25, 994.9144, 15020.16, 65, 50, 2, 2, 4
local, 100, 8, 6934.07, 1e+05, 1, 0.125, 866.7587, 12500, 866.7587, 13366.76, 65, 50, 2, 2, 4
minimal, 100, 5.8, 8581.39, 1e+05, 1, 0.1724138, 1479.55, 17241.38, 1479.55, 18720.93, 65, 50, 2, 2, 5
all, 100, 23, 21448, 1e+05, 1, 0.04347826, 932.5217, 4347.826, 932.5217, 5280.348, 65, 50, 2, 2, 5
nodal, 100, 6.21, 5972.24, 1e+05, 1, 0.1610306, 961.7134, 16103.06, 961.7134, 17064.77, 65, 50, 2, 2, 5
local, 100, 6.9, 5482.34, 1e+05, 1, 0.1449275, 794.542, 14492.75, 794.542, 15287.3, 65, 50, 2, 2, 5
minimal, 100, 5.51, 9643.74, 1e+05, 1, 0.1814882, 1750.225, 18148.82, 1750.225, 19899.05, 70, 50, 1, 1, 1
all, 100, 18, 22368, 1e+05, 1, 0.05555556, 1242.667, 5555.556, 1242.667, 6798.222, 70, 50, 1, 1, 1
nodal, 100, 7.02, 8098.18, 1e+05, 1, 0.1424501, 1153.587, 14245.01, 1153.587, 15398.6, 70, 50, 1, 1, 1
local, 100, 7.82, 7699.7, 1e+05, 1, 0.1278772, 984.6164, 12787.72, 984.6164, 13772.34, 70, 50, 1, 1, 1
minimal, 100, 5.51, 9578.15, 1e+05, 1, 0.1814882, 1738.321, 18148.82, 1738.321, 19887.14, 70, 50, 1, 1, 2
all, 100, 18, 22120, 1e+05, 1, 0.05555556, 1228.889, 5555.556, 1228.889, 6784.444, 70, 50, 1, 1, 2
nodal, 100, 6.4, 7365.41, 1e+05, 1, 0.15625, 1150.845, 15625, 1150.845, 16775.85, 70, 50, 1, 1, 2
local, 100, 6.4, 6255.01, 1e+05, 1, 0.15625, 977.3453, 15625, 977.3453, 16602.35, 70, 50, 1, 1, 2
minimal, 100, 5.51, 8911.75, 1e+05, 1, 0.1814882, 1617.377, 18148.82, 1617.377, 19766.2, 70, 50, 1, 1, 3
all, 100, 18, 21600, 1e+05, 1, 0.05555556, 1200, 5555.556, 1200, 6755.556, 70, 50, 1, 1, 3
nodal, 100, 6.48, 7295.5, 1e+05, 1, 0.154321, 1125.849, 15432.1, 1125.849, 16557.95, 70, 50, 1, 1, 3
local, 100, 7.2, 6598.29, 1e+05, 1, 0.1388889, 916.4292, 13888.89, 916.4292, 14805.32, 70, 50, 1, 1, 3
minimal, 100, 5.51, 10093.74, 1e+05, 1, 0.1814882, 1831.895, 18148.82, 1831.895, 19980.72, 70, 50, 1, 1, 4
all, 100, 18, 22297, 1e+05, 1, 0.05555556, 1238.722, 5555.556, 1238.722, 6794.278, 70, 50, 1, 1, 4
nodal, 100, 6.4, 7618.05, 1e+05, 1, 0.15625, 1190.32, 15625, 1190.32, 16815.32, 70, 50, 1, 1, 4
local, 100, 6.4, 6494.16, 1e+05, 1, 0.15625, 1014.712, 15625, 1014.712, 16639.71, 70, 50, 1, 1, 4
minimal, 100, 5.51, 10351.76, 1e+05, 1, 0.1814882, 1878.722, 18148.82, 1878.722, 20027.54, 70, 50, 1, 1, 5
all, 100, 18, 22361, 1e+05, 1, 0.05555556, 1242.278, 5555.556, 1242.278, 6797.833, 70, 50, 1, 1, 5
nodal, 100, 6.48, 7682.86, 1e+05, 1, 0.154321, 1185.627, 15432.1, 1185.627, 16617.73, 70, 50, 1, 1, 5
local, 100, 7.14, 7388.92, 1e+05, 1, 0.140056, 1034.863, 14005.6, 1034.863, 15040.46, 70, 50, 1, 1, 5
minimal, 100, 5.51, 10527.93, 1e+05, 1, 0.1814882, 1910.695, 18148.82, 1910.695, 20059.52, 70, 50, 1, 2, 1
all, 100, 18, 23521, 1e+05, 1, 0.05555556, 1306.722, 5555.556, 1306.722, 6862.278, 70, 50, 1, 2, 1
nodal, 100, 7.02, 8806.77, 1e+05, 1, 0.1424501, 1254.526, 14245.01, 1254.526, 15499.54, 70, 50, 1, 2, 1
local, 100, 7.02, 7375.04, 1e+05, 1, 0.1424501, 1050.575, 14245.01, 1050.575, 15295.59, 70, 50, 1, 2, 1
minimal, 100, 5.51, 9781.65, 1e+05, 1, 0.1814882, 1775.254, 18148.82, 1775.254, 19924.07, 70, 50, 1, 2, 2
all, 100, 18, 22795, 1e+05, 1, 0.05555556, 1266.389, 5555.556, 1266.389, 6821.944, 70, 50, 1, 2, 2
nodal, 100, 6.4, 7561.4, 1e+05, 1, 0.15625, 1181.469, 15625, 1181.469, 16806.47, 70, 50, 1, 2, 2
local, 100, 6.4, 6387.62, 1e+05, 1, 0.15625, 998.0656, 15625, 998.0656, 16623.07, 70, 50, 1, 2, 2
minimal, 100, 5.51, 9658.88, 1e+05, 1, 0.1814882, 1752.973, 18148.82, 1752.973, 19901.79, 70, 50, 1, 2, 3
all, 100, 18, 22673, 1e+05, 1, 0.05555556, 1259.611, 5555.556, 1259.611, 6815.167, 70, 50, 1, 2, 3
nodal, 100, 6.48, 7747.45, 1e+05, 1, 0.154321, 1195.594, 15432.1, 1195.594, 16627.69, 70, 50, 1, 2, 3
local, 100, 6.96, 6928.12, 1e+05, 1, 0.1436782, 995.4195, 14367.82, 995.4195, 15363.24, 70, 50, 1, 2, 3
minimal, 100, 5.51, 10668.41, 1e+05, 1, 0.1814882, 1936.191, 18148.82, 1936.191, 20085.01, 70, 50, 1, 2, 4
all, 100, 18, 23860, 1e+05, 1, 0.05555556, 1325.556, 5555.556, 1325.556, 6881.111, 70, 50, 1, 2, 4
nodal, 100, 6.4, 8176.07, 1e+05, 1, 0.15625, 1277.511, 15625, 1277.511, 16902.51, 70, 50, 1, 2, 4
local, 100, 7.56, 8096.37, 1e+05, 1, 0.1322751, 1070.948, 13227.51, 1070.948, 14298.46, 70, 50, 1, 2, 4
minimal, 100, 5.51, 11053.29, 1e+05, 1, 0.1814882, 2006.042, 18148.82, 2006.042, 20154.86, 70, 50, 1, 2, 5
all, 100, 18, 23657, 1e+05, 1, 0.05555556, 1314.278, 5555.556, 1314.278, 6869.833, 70, 50, 1, 2, 5
nodal, 100, 6.48, 8101.33, 1e+05, 1, 0.154321, 1250.205, 15432.1, 1250.205, 16682.3, 70, 50, 1, 2, 5
local, 100, 6.48, 7196.08, 1e+05, 1, 0.154321, 1110.506, 15432.1, 1110.506, 16542.6, 70, 50, 1, 2, 5
minimal, 100, 5.8, 10034.4, 1e+05, 1, 0.1724138, 1730.069, 17241.38, 1730.069, 18971.45, 70, 50, 2, 1, 1
all, 100, 23, 22930, 1e+05, 1, 0.04347826, 996.9565, 4347.826, 996.9565, 5344.783, 70, 50, 2, 1, 1
nodal, 100, 6.9, 8178.81, 1e+05, 1, 0.1449275, 1185.335, 14492.75, 1185.335, 15678.09, 70, 50, 2, 1, 1
local, 100, 7.82, 7270.2, 1e+05, 1, 0.1278772, 929.6931, 12787.72, 929.6931, 13717.42, 70, 50, 2, 1, 1
minimal, 100, 5.8, 9492.15, 1e+05, 1, 0.1724138, 1636.578, 17241.38, 1636.578, 18877.96, 70, 50, 2, 1, 2
all, 100, 23, 21661, 1e+05, 1, 0.04347826, 941.7826, 4347.826, 941.7826, 5289.609, 70, 50, 2, 1, 2
nodal, 100, 6.9, 7629.11, 1e+05, 1, 0.1449275, 1105.668, 14492.75, 1105.668, 15598.42, 70, 50, 2, 1, 2
local, 100, 7.82, 6629.99, 1e+05, 1, 0.1278772, 847.8248, 12787.72, 847.8248, 13635.55, 70, 50, 2, 1, 2
minimal, 100, 5.8, 9276.11, 1e+05, 1, 0.1724138, 1599.329, 17241.38, 1599.329, 18840.71, 70, 50, 2, 1, 3
all, 100, 23, 22480, 1e+05, 1, 0.04347826, 977.3913, 4347.826, 977.3913, 5325.217, 70, 50, 2, 1, 3
nodal, 100, 5.8, 6362.47, 1e+05, 1, 0.1724138, 1096.978, 17241.38, 1096.978, 18338.36, 70, 50, 2, 1, 3
local, 100, 7.13, 6202.05, 1e+05, 1, 0.1402525, 869.8527, 14025.25, 869.8527, 14895.1, 70, 50, 2, 1, 3
minimal, 100, 5.8, 9934.29, 1e+05, 1, 0.1724138, 1712.809, 17241.38, 1712.809, 18954.19, 70, 50, 2, 1, 4
all, 100, 23, 22724, 1e+05, 1, 0.04347826, 988, 4347.826, 988, 5335.826, 70, 50, 2, 1, 4
